"","O14625","O43508","P01133","P01579","P02778","P05112","P05231","P09603","P10145","P10147","P13232","P13236","P13500","P14210","P15692","P22301","P35225","P39900","P48061","P50591","P51671","P80075","P80098","Q07325","Q14116","Q99616","Q99731"
"75",448.15944,388.49877,335.99203,0.17322,62.84672,0.00915,1.09037,98.10025,4.31008,3.25844,1.23162,51.11685,254.76616,99.02102,203.72022,4.31977,10.49965,202.25149,220.01356,403.14368,256.26577,13.74347,1.20375,55.79688,182.99845,156.63742,140.56611
"76",324.80383,281.58072,272.18668,0.23642,60.50468,0.0104,1.59021,125.4896,6.89775,3.04852,1.14816,26.52928,229.63132,136.67225,273.50725,2.93713,3.31887,129.95428,176.5988,299.08054,145.67223,38.75846,1.8539,36.48048,338.43083,110.50371,118.51445
"77",496.11116,324.15163,110.52901,0.33304,71.724,0.00978,2.06549,123.8463,3.33532,5.84084,0.99843,62.69284,274.08996,88.99105,182.31956,6.51808,0.19321,265.96684,150.23728,476.32071,350.39433,26.90917,1.97305,56.13918,232.44278,648.70069,129.47293
"78",402.89578,577.70735,632.51165,0.3164,133.00233,0.01023,3.13252,139.71289,4.69888,4.87645,1.88828,73.80832,273.07684,134.93204,233.30084,6.52873,0.25101,350.82534,311.80809,473.5187,317.25267,59.9775,2.62287,113.03926,345.46676,597.55369,163.28645
"79",327.75922,360.17528,156.23147,0.28513,51.89301,0.02108,2.13267,116.94215,4.66848,5.81675,0.89128,60.24636,344.74693,121.52561,273.79269,11.38817,0.15241,199.11047,179.31605,347.28305,346.99948,89.25657,2.16065,50.12049,314.70789,438.28332,90.22491
"80",424.5994,362.63711,115.0892,0.18485,52.80898,0.01078,0.75155,98.20385,16.88759,4.65227,0.67872,46.54596,250.32368,183.53975,185.63632,3.5727,0.48934,216.36263,177.26351,344.96008,258.21164,10.48667,1.20883,38.81182,209.31177,307.14531,282.03484
"81",345.19894,390.42315,107.71536,0.1586,54.30432,0.00968,1.37362,114.04895,5.33483,6.70185,0.62224,62.64136,294.81564,107.87088,206.07963,4.1947,0.32622,213.39737,147.07985,422.45345,357.78126,55.55035,2.34255,37.55121,179.17288,401.89949,106.64226
"82",581.04115,606.76,425.52426,0.49419,95.76521,0.01198,1.89895,115.88781,8.37763,4.37071,1.46531,69.98763,301.5545,122.74454,208.54918,4.67152,0.12875,296.84003,228.03731,359.84761,226.57095,51.2335,1.56824,101.81209,276.0402,300.12846,309.76934
"83",297.4991,309.03853,89.1186,0.29753,68.36887,0.02014,2.10043,117.82893,4.46265,4.19565,0.55961,65.61031,279.45811,103.36147,187.50121,8.23181,0.4976,268.27634,183.79816,367.52967,330.41132,28.31445,1.78842,42.23125,1039.87241,516.53578,1369.95206
"84",286.46803,354.96296,151.2425,0.24548,75.81527,0.00928,5.07043,153.49173,8.27677,6.08178,1.16489,68.28457,445.89619,204.24023,326.06626,6.98755,0.65227,255.56776,212.50885,548.01464,218.79408,24.79,2.17352,42.54251,161.67779,391.97767,154.93161
"85",524.24945,401.19004,319.42696,0.23768,73.22903,0.01094,0.99339,117.39623,4.75167,3.92546,0.84826,76.31793,217.2323,131.59723,155.14589,6.13223,0.10453,364.21272,246.34695,310.51376,237.71965,35.88164,1.43653,42.88636,206.59473,295.24567,123.43881
"86",360.75439,296.0011,344.51467,0.1431,47.3589,0.01066,0.85511,141.75138,3.74304,4.27078,1.35391,76.06478,128.49933,95.44325,156.48176,3.70902,0.20482,131.8724,428.46805,248.16287,109.03321,36.76542,0.77348,33.27698,244.18676,100.61886,90.5754
"87",387.69374,356.48314,218.14321,0.19608,64.41911,0.00941,0.99604,92.92506,4.41697,4.10979,0.49531,43.60096,297.90943,98.65134,164.79996,3.36073,2.98661,210.90983,195.48612,361.85197,226.53466,34.6099,1.31496,53.94742,177.28823,189.18215,96.08505
"88",309.18804,419.15126,248.79267,0.18774,65.32144,0.01099,0.51395,109.14472,5.04663,2.76194,0.86651,43.21584,271.31474,85.1347,169.06766,4.62703,0.72858,275.31938,194.7403,366.40481,211.83081,30.23043,1.64601,36.38573,210.13166,195.83403,136.12559
"89",349.56736,275.82958,108.15443,0.41274,64.58416,0.02121,2.51938,143.45207,6.58434,3.97757,1.27946,76.60756,227.98392,145.53072,269.06456,6.5914,0.13087,286.71877,191.54892,259.04633,148.47968,22.71471,0.75419,78.61131,162.43617,92.32478,126.81358
"90",354.40861,303.61707,259.10245,0.14513,69.87114,0.00961,2.83795,115.05851,8.88559,6.11862,3.2721,98.07048,211.42876,154.51726,191.01942,5.88637,0.08711,299.80215,159.86807,418.95706,211.92694,35.91923,2.01372,74.11319,196.54113,247.70687,105.98134
"91",384.50096,452.05397,264.13106,0.15374,71.36942,0.00972,0.87866,106.08353,3.9479,6.49378,0.5845,51.11544,247.4483,106.67879,181.0837,5.95109,0.0524,293.48854,197.11241,428.08636,310.82709,26.96821,1.71288,58.9305,125.69167,431.85613,121.06295
"92",282.67683,348.08196,182.53117,0.31916,82.60534,0.0101,8.44607,128.29492,4.21767,3.35079,0.71815,37.81283,408.01615,157.55629,178.05979,12.0975,0.81411,335.29368,252.33702,440.59363,227.33345,18.71584,3.09134,71.72207,135.83942,274.72479,79.36819
"93",524.79653,410.75465,444.55823,0.50095,98.52538,0.00931,1.18113,136.63094,4.93958,6.6708,1.5683,71.71253,243.54605,90.83574,473.86273,10.296,0.25323,320.8684,173.13481,335.99393,185.81361,33.40025,0.75029,75.27139,267.1675,234.91394,119.29151
"94",345.01593,390.77118,69.00346,0.44843,49.8056,0.0096,0.91086,119.82679,3.24207,3.59375,0.2526,52.54158,265.26334,97.33213,156.86664,4.89633,7.44486580797976,132.23957,143.54245,382.00008,308.38251,26.37326,1.42604,40.04879,197.46171,196.59574,118.16835
"95",313.14326,404.75401,224.47532,0.29214,77.37289,0.00893,3.22918,133.71229,4.30637,5.42166,0.85229,65.87284,274.49553,124.18121,211.21598,3.72693,17.56554,228.27525,153.11442,460.56403,212.9616,51.29624,2.26157,49.30556,258.29362,499.46462,124.94525
"96",324.97277,373.85658,128.06448,0.11307,43.76371,0.00979,1.09497,116.23807,4.40907,2.77239,0.53687,44.5697,260.94184,137.29148,161.6894,5.01224,5.14595,273.91573,172.16082,407.70047,289.73444,30.37403,0.87324,45.13798,180.63554,470.10334,109.41269
